YEAR,LOCATION,ESTIMATE,ERROR,FUEL_TYPE
2019-01-01,Houston,876504,9872,Total
2019-01-01,Houston,280019,8016,Utility Gas
2019-01-01,Houston,4062,866,Bottled/tank/LP Gas
2019-01-01,Houston,586158,10944,Electricity
2019-01-01,Houston,155,215,Fuel oil/kerosene/etc.
2019-01-01,Houston,87,144,Coke/Coal
2019-01-01,Houston,50,83,Wood
2019-01-01,Houston,320,314,Solar
2019-01-01,Houston,231,214,Other fuel
2019-01-01,Houston,5422,1599,No fuel
2011-01-01,Austin,331582,5920,Total
2011-01-01,Austin,155022,5025,Utility Gas
2011-01-01,Austin,4070,966,Bottled/tank/LP Gas
2011-01-01,Austin,170927,6098,Electricity
2011-01-01,Austin,126,202,Fuel oil/kerosene/etc.
2011-01-01,Austin,0,218,Coke/Coal
2011-01-01,Austin,432,297,Wood
2011-01-01,Austin,126,155,Solar
2011-01-01,Austin,314,266,Other fuel
2011-01-01,Austin,565,336,No fuel
2012-01-01,Austin,330838,4711,Total
2012-01-01,Austin,157508,4621,Utility Gas
2012-01-01,Austin,4628,1083,Bottled/tank/LP Gas
2012-01-01,Austin,166829,4982,Electricity
2012-01-01,Austin,471,546,Fuel oil/kerosene/etc.
2012-01-01,Austin,0,206,Coke/Coal
2012-01-01,Austin,528,508,Wood
2012-01-01,Austin,156,154,Solar
2012-01-01,Austin,125,150,Other fuel
2012-01-01,Austin,593,335,No fuel
2013-01-01,Austin,349200,5054,Total
2013-01-01,Austin,165715,5262,Utility Gas
2013-01-01,Austin,4603,1149,Bottled/tank/LP Gas
2013-01-01,Austin,176395,6270,Electricity
2013-01-01,Austin,254,283,Fuel oil/kerosene/etc.
2013-01-01,Austin,29,50,Coke/Coal
2013-01-01,Austin,236,202,Wood
2013-01-01,Austin,141,123,Solar
2013-01-01,Austin,184,178,Other fuel
2013-01-01,Austin,1643,677,No fuel
2014-01-01,Austin,360996,4783,Total
2014-01-01,Austin,175721,4779,Utility Gas
2014-01-01,Austin,4494,943,Bottled/tank/LP Gas
2014-01-01,Austin,178587,5344,Electricity
2014-01-01,Austin,456,427,Fuel oil/kerosene/etc.
2014-01-01,Austin,0,211,Coke/Coal
2014-01-01,Austin,283,223,Wood
2014-01-01,Austin,86,101,Solar
2014-01-01,Austin,222,215,Other fuel
2014-01-01,Austin,1147,412,No fuel
2015-01-01,Austin,364893,4984,Total
2015-01-01,Austin,162552,5840,Utility Gas
2015-01-01,Austin,5138,1200,Bottled/tank/LP Gas
2015-01-01,Austin,195025,5296,Electricity
2015-01-01,Austin,154,165,Fuel oil/kerosene/etc.
2015-01-01,Austin,76,125,Coke/Coal
2015-01-01,Austin,330,240,Wood
2015-01-01,Austin,376,270,Solar
2015-01-01,Austin,114,114,Other fuel
2015-01-01,Austin,1128,452,No fuel
2016-01-01,Austin,372327,5397,Total
2016-01-01,Austin,152943,4713,Utility Gas
2016-01-01,Austin,5032,1126,Bottled/tank/LP Gas
2016-01-01,Austin,210960,5943,Electricity
2016-01-01,Austin,184,142,Fuel oil/kerosene/etc.
2016-01-01,Austin,370,435,Coke/Coal
2016-01-01,Austin,320,247,Wood
2016-01-01,Austin,858,616,Solar
